,Date,Tweets
121,2020-07-23,"RT @BoringPrufrock: Linette Lopez is possibly the most hateful, biased journalists in all of North America!!! 

• In 9 months time she will…"
122,2020-07-23,Why can #TSLA act like Tyco or Enron and we cheer when a CEO gets paid $2.5B! Tesla is such a fraud!
123,2020-07-23,"Tesla (NASDAQ:TSLA) Issues Earnings Results, Beats Expectations By $4.53 EPS $TSLA #TSLA #Tesla #instantalerts #NASDAQ:TSLA https://t.co/bc88efLzf2"
124,2020-07-23,"#tsla @SquawkCNBC @davidfaber @andrewrsorkin @DanielTNiles nobody conveniently mentions that tsla q2 profit beat is courtesy of 4 times normal reg credit sale, not from autos. unlikely to be added to the index."
125,2020-07-23,hmmm....not sure this completely aligns with the $8.6bn of cash on the balance sheet at end of Q2 - if I were a landlord I'd be writing a strongly worded letter to that effect! #TSLA https://t.co/Tx9sHFa1Pb
126,2020-07-23,The lone #tslaq amongst the normal #tsla https://t.co/aunbhGf0cD
127,2020-07-23,"TSLA Mess. Will look for Gamma Trades Tomorrow.

#Long #Gamma #TSLA #Options #Trading https://t.co/VzBAg2plHn"
128,2020-07-23,"RT @PlanetPonzi: #Tesla 2Q EPS 50c Wow.
#ElonMusk's #TSLA #tslaq
#AccountingFraud https://t.co/94Db3Adcpk"
129,2020-07-23,"#stocks #markets #economy #investing #financialservices  #stockmarkets #TSLA #teslastock #TESLA

Tesla’s stock price and market valuation are ‘insane,’ says AutoNation CEO Mike Jackson.

MY RESPONSE---NO SHIT!!!!"
130,2020-07-23,"#stocks #markets #economy #investing #financialservices  #stockmarkets #TSLA #TESLA

Tesla stock price target raised to $1,800 from $1,250 at Wedbush

**Why not raise the price target to $3,000. Who cares about evaluations? They do not matter. The Fed is backing the stock market"
131,2020-07-23,"RT @SquirrelCap: TSLA 30 minutes chart below shows that the stock has ended pullback from July 13 high in wave (4) at 1431.30 low.

#stocks…"
132,2020-07-23,"TSLA 30 minutes chart below shows that the stock has ended pullback from July 13 high in wave (4) at 1431.30 low.

#stocks #tesla #tsla #wave"
133,2020-07-23,"@jimcramer Sales flat last 2 years  for #tsla . Did you sctually read the report ? Profit from goverment subsidies . You made irresponsible comments today  , twit , and you lost my respect ."
134,2020-07-23,dont bring ethics into your investments. #tsla #moonshot https://t.co/BQMJzqtKSB
135,2020-07-23,@keya5000 Note #AMC have been tweeting #TSLA Tesla
136,2020-07-23,"RT @TrendSpider: $TSLA #TSLA Earnings levels of interest to the upside and downside. 

https://t.co/7NnMrXexyY"
137,2020-07-23,#TSLA sold regulatory credits to make a GAAP profit. https://t.co/CO4NY8TmTN
138,2020-07-23,@stevenmarkryan congratulations on your insights proving 💯 correct for TSLA.  Could you consider making a YouTube video featuring a mashup of all of the best YouTube truths.  This is my fav moment by https://t.co/IAdXPFmLCl far 🙌🏻 #TSLA #thismatters
139,2020-07-23,"RT @TradingSurfers: S&amp;P 500 Index Update 📉

Charts are released earlier in our Discord group #joinus

#Elliottwave #stockstowatch #StocksTo…"
140,2020-07-23,Congratulations ⁦@Tesla⁩ 🎉🎉#TSLA  https://t.co/biDPbkjJyE
141,2020-07-23,Just came back in stock in the U.K. Good way to celebrate Q2 earnings ! #TSLA #TESLA https://t.co/CaWc2rR2gA
